investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2508582,2508582,ACTUALIZADO,5,2026-05,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,8,2026-08,0.0,2026-02-24 19:23:11
2508582,2508582,ACTUALIZADO,11,2026-11,0.0,2026-02-24 19:23:11
2651835,2651835,ACTUALIZADO,3,2026-03,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,7,2026-07,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,1,2026-01,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,4,2026-04,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,12,2026-12,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,5,2026-05,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,6,2026-06,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,9,2026-09,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,10,2026-10,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,2,2026-02,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,8,2026-08,0.0,2026-02-24 17:08:47
2651835,2651835,ACTUALIZADO,11,2026-11,0.0,2026-02-24 17:08:47
2689534,2689534,ACTUALIZADO,12,2026-12,236665.89,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,9,2026-09,236665.91,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,3,2026-03,0.0,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,8,2026-08,236665.91,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,10,2026-10,236665.91,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,4,2026-04,0.0,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,5,2026-05,0.0,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,6,2026-06,0.0,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,1,2026-01,0.0,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,2,2026-02,0.0,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,7,2026-07,236665.91,2026-02-24 03:33:34
2689534,2689534,ACTUALIZADO,11,2026-11,236665.91,2026-02-24 03:33:34
2547741,2547741,ACTUALIZADO,3,2026-03,50000.0,2026-02-11 21:10:42
2547741,2547741,ACTUALIZADO,4,2026-04,20000.0,2026-02-11 21:10:42
2547741,2547741,ACTUALIZADO,7,2026-07,0.0,2026-02-11 21:10:42
