investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2055268,2055268,212470.74,0,0,212151.28,0.0,200711,200902
2282737,2282737,197212.72,0,0,197211.72,0.0,201507,201607
2114952,2114952,737314.43,0,0,737314.43,0.0,201007,201203
2651324,2651324,41000.0,410000,0,41000.0,41000.0,202603,202603
2553787,2553787,704762.78,0,0,704762.78,0.0,202211,202509
2199410,2199410,397934.0,0,0,397934.0,0.0,201411,201608
2640959,2640959,30000.0,0,0,30000.0,0.0,202412,202412
2377643,2377643,862613.52,0,0,862613.52,0.0,201708,202105
2304277,2304277,15000.0,0,0,15000.0,0.0,201806,201806
2042039,2042039,455724.19,0,0,455724.19,0.0,200712,200811
2483849,2483849,1720307.77,0,0,1705849.77,0.0,202306,202508
2415418,2415418,731118.65,0,0,731118.65,0.0,201810,202508
2163619,2163619,217139.73,0,0,217139.73,0.0,201211,201407
2685336,2685336,59417.4,197579,0,57030.4,39417.4,202510,202603
2476239,2476239,562634.54,0,0,561062.18,0.0,202002,202205
2658639,2658639,0.0,100000,100000,0.0,0.0,,
2457333,2457333,48480.0,0,0,48480.0,0.0,201908,202110
2500094,2500094,172105304.37,99836239,88367394,172089425.79,45093391.67,202107,202603
2326359,2326359,213439.86,0,0,213439.86,0.0,201709,201806
2222860,2222860,1677005.66,0,0,1677005.66,0.0,201302,201412
2376881,2376881,73560.0,0,0,73560.0,0.0,201707,201710
2296393,2296393,594146.49,0,0,594146.49,0.0,201512,202009
2451789,2451789,25000.0,0,0,25000.0,0.0,201907,201907
2127226,2127226,258613.45,0,0,258613.45,0.0,201010,201012
2060640,2060640,287499.18,0,0,287498.18,0.0,200805,200811
2335474,2335474,485630.31,0,0,485630.31,0.0,201705,201812
2494742,2494742,143756.68,0,0,143756.68,0.0,202008,202011
2512456,2512456,798839.72,0,0,798839.72,0.0,202103,202509
2178726,2178726,2583086.46,0,0,2583086.46,0.0,201311,201807
2472959,2472959,20640.0,0,0,20640.0,0.0,202003,202003
2573188,2573188,20000.0,0,0,20000.0,0.0,202304,202304
2059687,2059687,57365.6,0,0,57365.6,0.0,200806,200810
2190748,2190748,267731.55,0,0,267731.55,0.0,201409,201412
2307366,2307366,11500.0,0,0,11500.0,0.0,201601,201601
2703163,2703163,0.0,41000,0,0.0,0.0,,
2340503,2340503,203036.4,0,0,203036.4,0.0,201703,201812
2452032,2452032,68067.98,0,0,68067.98,0.0,201908,202010
2562843,2562843,11880.0,0,0,11880.0,0.0,202312,202312
2630438,2630438,60403.34,30000,30000,60403.34,12934.05,202503,202602
2511164,2511164,7612598.39,0,0,7612598.39,0.0,202303,202412
2050549,2050549,324697.5,0,0,324697.5,0.0,200810,200903
2448712,2448712,5807898.74,0,0,5807898.74,0.0,201910,202112
2279394,2279394,11500.0,0,0,11500.0,0.0,201506,201506
2207076,2207076,280853.0,0,0,280853.0,0.0,201312,201407
2438245,2438245,14350.0,0,0,14350.0,0.0,201908,201908
2290834,2290834,2437518.42,0,0,2437518.42,0.0,201704,201810
2691042,2691042,42000.0,0,0,42000.0,0.0,202508,202508
2709836,2709836,0.0,3325489,3325489,0.0,0.0,,
2277029,2277029,9000.0,0,0,8280.0,0.0,201512,201512
2248739,2248739,1689527.96,38000,0,1689527.96,11400.0,202007,202601
2497158,2497158,3236805.61,0,0,3236805.61,0.0,202311,202502
